country,continent,date,age,total_cases,deaths,recoveries
Canada,North America,2020-01-01 00:00:00.000000000,51,272220.0,41843.0,765481.0
India,Asia,2020-01-01 11:41:16.050700466,37,792188.0,3392.0,1614650.0
France,Europe,2020-01-01 23:22:32.101400933,21,1620001.0,12195.0,620876.0
Brazil,South America,2020-01-02 11:03:48.152101400,26,932764.0,28038.0,1128353.0
South Korea,Asia,2020-01-02 22:45:04.202801867,27,914801.0,34570.0,478766.0
India,Asia,2020-01-03 10:26:20.253502334,33,252595.0,49224.0,377481.0
France,Europe,2020-01-03 22:07:36.304202801,46,11946.0,25869.0,264354.0
UK,Europe,2020-01-04 09:48:52.354903268,72,400930.0,47589.0,744083.0
Italy,Europe,2020-01-04 21:30:08.405603735,26,499964.0,24469.0,962676.0
Argentina,South America,2020-01-05 09:11:24.456304202,76,1189332.0,42708.0,183264.0
USA,North America,2020-01-05 20:52:40.507004669,47,773188.0,30737.0,1121152.0
Mexico,North America,2020-01-06 08:33:56.557705136,29,72787.0,43590.0,910046.0
Canada,North America,2020-01-06 20:15:12.608405603,43,1171545.0,33082.0,1016448.0
Japan,Asia,2020-01-07 07:56:28.659106070,67,,3623.0,1654151.0
South Korea,Asia,2020-01-07 19:37:44.709806537,67,1944501.0,14278.0,232870.0
Germany,Europe,2020-01-08 07:19:00.760507004,41,9264.0,22468.0,317402.0
France,Europe,2020-01-08 19:00:16.811207471,21,949887.0,41189.0,1143498.0
Spain,Europe,2020-01-09 06:41:32.861907938,60,994597.0,15686.0,1440386.0
China,Asia,2020-01-09 18:22:48.912608405,36,356137.0,45038.0,892412.0
India,Asia,2020-01-10 06:04:04.963308872,44,868720.0,42392.0,249395.0
USA,North America,2020-01-10 17:45:21.014009339,65,1953349.0,30645.0,560860.0
Brazil,South America,2020-01-11 05:26:37.064709806,66,1211487.0,12636.0,1186903.0
Turkey,Asia,2020-01-11 17:07:53.115410273,36,523380.0,34048.0,1524391.0
South Africa,Africa,2020-01-12 04:49:09.166110740,53,1219424.0,29046.0,1336553.0
Spain,Europe,2020-01-12 16:30:25.216811207,61,1893491.0,19890.0,1326872.0
Canada,North America,2020-01-13 04:11:41.267511674,75,1188479.0,36532.0,476266.0
Brazil,South America,2020-01-13 15:52:57.318212141,44,1328071.0,24669.0,1760116.0
India,Asia,2020-01-14 03:34:13.368912608,36,,28298.0,1621362.0
Brazil,South America,2020-01-14 15:15:29.419613075,33,1925956.0,49939.0,343581.0
Spain,Europe,2020-01-15 02:56:45.470313542,47,,1295.0,620787.0
Canada,North America,2020-01-15 14:38:01.521014009,55,,9528.0,1397265.0
Mexico,North America,2020-01-16 02:19:17.571714476,23,11577.0,44963.0,1014691.0
Mexico,North America,2020-01-16 14:00:33.622414943,59,1310246.0,4770.0,104843.0
Australia,Oceania,2020-01-17 01:41:49.673115410,52,1352928.0,36021.0,526902.0
Argentina,South America,2020-01-17 13:23:05.723815877,55,420524.0,22675.0,1581496.0
Japan,Asia,2020-01-18 01:04:21.774516344,60,5053.0,43477.0,1487349.0
Mexico,North America,2020-01-18 12:45:37.825216811,72,125866.0,24782.0,819105.0
China,Asia,2020-01-19 00:26:53.875917278,53,52862.0,18692.0,1450513.0
China,Asia,2020-01-19 12:08:09.926617745,24,545935.0,,
France,Europe,2020-01-19 23:49:25.977318212,30,163984.0,2373.0,1472783.0
Italy,Europe,2020-01-20 11:30:42.028018679,54,1907334.0,9692.0,534257.0
Australia,Oceania,2020-01-20 23:11:58.078719146,25,77589.0,42167.0,655857.0
Australia,Oceania,2020-01-21 10:53:14.129419613,26,767295.0,31574.0,233774.0
